,descricao
312,transferência enviada pelo pix - laerte ribeiro de oliveira - 433.428.548-12 - nu pagamentos - ip (0260) agência: 1 conta: 68335853-5 || NA
313,transferência enviada pelo pix - le thi thuy trang 23442133840 - 13.089.791/0001-10 - bco santander (brasil) s.a. (0033) agência: 3410 conta: 13006163-6 || NA
314,transferência enviada pelo pix - luis felipe ticianeli ferreira - 004.241.391-54 - nu pagamentos - ip (0260) agência: 1 conta: 1578076-9 || NA
315,transferência enviada pelo pix - maressa andrioli rodrigues - 396.766.238-14 - nu pagamentos - ip (0260) agência: 1 conta: 4711890-9 || NA
316,transferência enviada pelo pix - mariana de oliveira keller - 419.551.828-84 - nu pagamentos - ip (0260) agência: 1 conta: 58131822-7 || NA
317,transferência enviada pelo pix - meio dia barriga vazia - 64.938.772/0001-51 - itaú unibanco s.a. (0341) agência: 3170 conta: 13149-8 || NA
318,transferência enviada pelo pix - nucleo digital informatica e servic - 04.951.388/0001-67 - banco inter (0077) agência: 1 conta: 9055275-0 || NA
319,transferência enviada pelo pix - pagbrasil pagamentos eletronicos ltda - 14.630.124/0001-65 - bco bradesco s.a. (0237) agência: 2276 conta: 22420-0 || NA
320,transferência enviada pelo pix - pagbrasil pagamentos eletronicos ltda - 14.630.124/0001-65 - bco santander (brasil) s.a. (0033) agência: 2090 conta: 13000894-8 || NA
321,transferência enviada pelo pix - panificadora siapao ltda me - 61.395.844/0001-73 - itaú unibanco s.a. (0341) agência: 444 conta: 72070-0 || NA
322,transferência enviada pelo pix - pefisa - 43.180.355/0001-12 - pefisa s.a. - c.f.i. (0174) agência: 1 conta: 9000921-5 || NA
323,transferência enviada pelo pix - petsupermarket comercio e produtos paraa - 10.864.846/0001-23 - bco santander (brasil) s.a. (0033) agência: 3406 conta: 13000253-7 || NA
324,transferência enviada pelo pix - rafael dos santos braga                  - 030.762.461-78 - bco bradesco s.a. (0237) agência: 3441 conta: 12486-9 || NA
325,transferência enviada pelo pix - sandro mendes ribeiro - 888.152.005-25 - bco santander (brasil) s.a. (0033) agência: 2060 conta: 1006444-5 || NA
326,transferência enviada pelo pix - sympla - 14.512.528/0001-54 - zoop meios de pagamento agência: 1 conta: 260628559-7 || NA
327,transferência enviada pelo pix - telefonica brasil s a  - 02.558.157/0001-62 - bco santander (brasil) s.a. (0033) agência: 2271 conta: 13068744-7 || NA
328,transferência enviada pelo pix - vakinha - 22.831.673/0001-26 - itaú unibanco s.a. (0341) agência: 1231 conta: 5690-2 || NA
329,transferência enviada pelo pix - vitor brito de castro pereira - 331.469.368-01 - banco inter (0077) agência: 1 conta: 17827952-8 || NA
330,transferência enviada pelo pix - vitor ferreira beer - 409.240.918-43 - nu pagamentos - ip (0260) agência: 1 conta: 66872912-0 || NA
331,transferência enviada pelo pix - vivalda santos alves - 001.180.685-04 - mercado pago ip ltda. (0323) agência: 1 conta: 5011807269-0 || NA
332,transferência enviada pelo pix - west market comercio de produtos alimenticios ltda - 45.426.302/0001-64 - stone ip s.a. (0197) agência: 1 conta: 584959-1 || NA
333,transferência enviada pelo pix - yapay pagamentos online ltda - 14.338.304/0001-78 - bco bs2 s.a. (0218) agência: 1 conta: 884722-3 || NA
334,transferência recebida - adriana lippi - 337.778.718-69 - nu pagamentos - ip (0260) agência: 1 conta: 69632614-1 || NA
335,transferência recebida - adriana lippi - 337.778.718-69 - nu pagamentos s.a. - instituição de pagamento (0260) agência: 1 conta: 69632614-1 || NA
336,transferência recebida - adriana lippi 33777871869 - 24.220.032/0001-60 - nu pagamentos - ip (0260) agência: 1 conta: 98808569-0 || NA
337,transferência recebida - adriana lippi 33777871869 - 24.220.032/0001-60 - nu pagamentos s.a. - instituição de pagamento (0260) agência: 1 conta: 98808569-0 || NA
338,transferência recebida - danilo brito steckelberg - 030.831.221-01 - nu pagamentos - ip (0260) agência: 1 conta: 4472039-5 || NA
339,transferência recebida - danilo brito steckelberg 03083122101 - 32.029.833/0001-71 - nu pagamentos - ip (0260) agência: 1 conta: 52374887-1 || NA
340,transferência recebida - danilo brito steckelberg 03083122101 - 32.029.833/0001-71 - nu pagamentos s.a. - instituição de pagamento (0260) agência: 1 conta: 52374887-1 || NA
341,transferência recebida - danilo brito steckelberg 03083122101 - 32.029.833/0001-71 - nu pagamentos s.a. (0260) agência: 1 conta: 52374887-1 || NA
342,transferência recebida - evi participacoes ltda - 37.669.661/0001-14 - bco do brasil s.a. (0001) agência: 4306 conta: 16375-9 || NA
343,transferência recebida - ricardo henrique kersul - 105.088.226-10 - nu pagamentos - ip (0260) agência: 1 conta: 1569563-3 || NA
344,transferência recebida pelo pix - anderson rafael s teixeira - 323.921.878-00 - itaú unibanco s.a. (0341) agência: 7319 conta: 631-3 || NA
345,transferência recebida pelo pix - ceddro solucoes digitais ltda - 18.383.971/0001-23 - itaú unibanco s.a. (0341) agência: 745 conta: 6531-8 || NA
346,transferência recebida pelo pix - danilo brito steckelberg - 030.831.221-01 - bco bradesco s.a. (0237) agência: 302 conta: 536651-8 || NA
347,transferência recebida pelo pix - evi participacoes ltda. - 37.669.661/0001-14 - itaú unibanco s.a. (0341) agência: 7122 conta: 13861-8 || NA
348,transferência recebida pelo pix - uotz inteligencia de mercado - 15.329.160/0001-56 - itaú unibanco s.a. (0341) agência: 185 conta: 17738-3 || NA
349,turbi  || NA
350,turbi fechamento da viage  || NA
351,turbi multa jvb3727007 -  || NA
352,turbi passagens offline -  || NA
353,uber        *trip  || NA
354,uber   *uber   *trip  || NA
355,uber *trip help.uber.com  || NA
356,uber* trip  || NA
357,west market  || NA
358,wix com 96983  || NA
359,wix com 97240  || NA
360,www*cobasi  || NA
361,www*ubueditora  || NA
362,xfer- turbi  || NA
363,zp          *ifood  || NA
